address,in_cluster_with_risky,max_daily_tx_count,small_transfer_count,idle_days,contract_interactions_count,time_since_last_tx,token_diversity,token_holdings_count,balance_eth,tx_count,tx_in_count,tx_out_count,avg_tx_value,max_tx_value,activity_days,label,is_mixer
0x784205acd9423a2044d09e41642a71e087162861,0,4.0,1.0,3.0,0,230497805.0,1.0,0.09917575,0.2,4.0,1.0,3,0.09917575,0.2,-1.0,Dodgy,False
0xefeddec5de1aef4c70b264d7b56b6d479b3ba520,0,0.0,0.0,0.0,0,189621259.93508056,0.0,0.0,0.0,0.0,,0,0.0,-1.0,-1.0,Dodgy,False
0x65f6c0e45758526982fa5f63ac877384ea5a91bd,0,32.0,9.0,23.0,16,228949527.0,2.0,0.0907886076720365,0.5,13.0,9.0,23,0.1708962,0.5,-1.0,Dodgy,False
0x83885fc61837b4a9e0960be80da2f2bc581ecbc6,0,8.0,6.0,2.0,0,229235563.0,2.0,2.6470033785342784,5.2129176,2.0,6.0,2,2.64700338,5.2129176,-1.0,Dodgy,False
0x12a1ccf979d65333e8e27ede047b476736b584a6,1,57.0,15.0,42.0,14,192765324.0,14.0,1.1361453011385303,16.855948100003157,15.0,15.0,42,1.50605307,16.8559481,-1.0,Dodgy,False
0xf38b7dc84c383abbd18f2fbf348e0d4eba9dd61f,0,0.0,0.0,0.0,0,189621259.93508056,0.0,0.0,0.0,0.0,,0,0.0,-1.0,-1.0,Dodgy,False
0x7a2bb19483e0df6fc7d5159e2f70480cfef4c50a,0,4.0,3.0,1.0,0,180368061.0,0.0,1.108528141025,2.21701428,3.0,3.0,1,1.10852814,2.21701428,-1.0,Dodgy,False
0x126de4b8b4e10840e7931e5858425f35c99bd323,0,3.0,2.0,1.0,0,173444883.0,0.0,0.84739391,2.31248885,2.0,2.0,1,0.84739391,2.31248885,-1.0,Dodgy,False
0xbceaa0040764009fdcff407e82ad1f06465fd2c4,1,3.0,1.0,2.0,0,197803150.0,18.0,17022.4094125056,25533.6143287584,2.0,1.0,2,17022.40941251,25533.61432876,-1.0,Dodgy,False
0x8bda591ac93925f485cd420a47a48eba87985ea0,0,12.0,8.0,4.0,0,205175985.0,0.0,0.9925127870328884,2.26,8.0,8.0,4,1.19101534,2.26,-1.0,Dodgy,False
0x5c4d6c7b7f7efebf6208e5677f652eeff9983b7f,0,0.0,0.0,0.0,0,189621259.93508056,0.0,0.0,0.0,0.0,,0,0.0,-1.0,-1.0,Dodgy,False
0x67ad530ecdfd7ac8289362914e88d018e8b3f3f0,0,378.0,377.0,0.0,10,207588873.0,0.0,0.5157061094229201,7.0,9.0,377.0,0,0.53261451,7.0,-1.0,Dodgy,False
0x2cdb253c0e44a284f6174ae90b5ea247e6cf3649,0,341.0,340.0,0.0,1,209334564.0,0.0,1.374960822952917,5.0,2.0,340.0,0,1.40377737,5.0,-1.0,Dodgy,False
0x69ff68516cb36384546786243e1f314d7b9c7e57,0,4.0,3.0,1.0,0,178979331.0,0.0,4.0238480725,8.04763,3.0,3.0,1,4.02384807,8.04763,-1.0,Dodgy,False
0x7513c584e280fd9f5f3a38f83fba342ce70ffd79,0,10.0,3.0,7.0,2,187924898.0,1.0,0.3239041459930704,0.61593258,4.0,3.0,7,0.40488018,0.61593258,-1.0,Dodgy,False
